sale_id,customer_id,product_id,amount,region,sale_date
10001,501,101,75000.00,East,2026-01-05
10002,502,102,4000.00,West,2026-01-05
10003,503,103,2400.00,East,2026-01-06
10004,504,104,18000.00,South,2026-01-06
10005,505,105,5000.00,North,2026-01-07
10006,501,102,4000.00,East,2026-01-08
10007,502,101,75000.00,West,2026-01-10
10008,506,103,2400.00,South,2026-01-12
10009,507,104,18000.00,North,2026-01-15
10010,503,105,5000.00,East,2026-01-18
10011,508,101,75000.00,West,2026-02-02
10012,509,102,4000.00,South,2026-02-05
10013,501,103,2400.00,East,2026-02-10
10014,504,104,18000.00,South,2026-02-14
10015,505,105,5000.00,North,2026-02-20
