transaction_id,customer_id,amount,created_at,updated_at
10001,501,1250.00,2026-01-05 09:15:00,2026-01-05 09:15:00
10002,502,2400.00,2026-01-06 10:30:00,2026-01-06 10:30:00
10003,503,875.50,2026-01-07 11:00:00,2026-01-07 11:00:00
10004,504,3200.00,2026-01-08 12:45:00,2026-01-08 12:45:00
10005,505,1599.99,2026-01-09 14:20:00,2026-01-09 14:20:00
10006,501,450.00,2026-01-10 15:10:00,2026-01-10 15:10:00
10007,506,7800.00,2026-01-11 16:30:00,2026-01-11 16:30:00
10008,507,925.75,2026-01-12 09:40:00,2026-01-12 09:40:00
10009,508,3100.00,2026-01-13 10:15:00,2026-01-13 10:15:00
10010,509,670.25,2026-01-14 13:50:00,2026-01-14 13:50:00
10011,502,5200.00,2026-01-20 09:10:00,2026-01-20 09:10:00
10012,503,1850.00,2026-01-21 11:25:00,2026-01-21 11:25:00
10013,504,4250.00,2026-01-22 12:35:00,2026-01-22 12:35:00
10014,505,950.00,2026-01-23 14:45:00,2026-01-23 14:45:00
10015,506,2750.00,2026-01-24 16:05:00,2026-01-24 16:05:00
