transaction_id,customer_id,product_id,transaction_date,amount,status
1001,C001,P100,2026-09-04,1200.50,COMPLETED
1002,C002,P200,2026-09-04,850.00,COMPLETED
1003,C003,P100,2026-09-03,1500.75,COMPLETED
1004,C004,P300,2026-09-03,650.25,COMPLETED
1005,C005,P200,2026-09-02,920.00,COMPLETED
1006,C006,P400,2026-09-02,1100.50,COMPLETED
1007,C007,P300,2026-09-01,775.00,COMPLETED
1008,C008,P100,2026-09-01,1325.25,COMPLETED
1009,C009,P400,2026-08-31,980.00,COMPLETED
1010,C010,P200,2026-08-31,1425.75,COMPLETED
