transaction_id,customer_id,product_id,transaction_date,amount,status
1,C0655,P0164,2026-09-02,261.59,CANCELLED
2,C0115,P0396,2026-09-03,1916.07,CANCELLED
3,C0026,P0226,2026-09-05,1709.36,REFUNDED
4,C0760,P0344,2026-09-05,1333.08,COMPLETED
5,C0282,P0061,2026-09-05,2596.14,REFUNDED
6,C0251,P0140,2026-09-03,3249.22,REFUNDED
7,C0229,P0077,2026-09-02,2778.56,CANCELLED
8,C0143,P0081,2026-09-04,530.63,COMPLETED
9,C0755,P0141,2026-09-05,1063.58,REFUNDED
10,C0105,P0059,2026-09-01,579.5,CANCELLED
11,C0693,P0008,2026-09-02,3290.77,CANCELLED
12,C0759,P0491,2026-09-04,3813.4,CANCELLED
13,C0914,P0319,2026-09-01,250.22,COMPLETED
14,C0559,P0287,2026-09-01,1399.43,CANCELLED
15,C0090,P0264,2026-09-02,2695.44,CANCELLED
16,C0605,P0053,2026-09-05,4262.41,REFUNDED
17,C0433,P0106,2026-09-05,3536.64,REFUNDED
18,C0033,P0278,2026-09-05,827.32,COMPLETED
19,C0031,P0180,2026-09-05,4103.66,CANCELLED
20,C0096,P0282,2026-09-04,464.35,REFUNDED
21,C0224,P0164,2026-09-05,4259.99,CANCELLED
22,C0239,P0139,2026-09-01,517.09,REFUNDED
23,C0518,P0073,2026-09-05,4152.74,REFUNDED
24,C0617,P0483,2026-09-01,3921.45,CANCELLED
25,C0028,P0361,2026-09-05,1891.96,REFUNDED
26,C0575,P0412,2026-09-04,1515.56,REFUNDED
27,C0204,P0146,2026-09-05,3330.59,COMPLETED
28,C0734,P0294,2026-09-05,4423.01,CANCELLED
29,C0666,P0126,2026-09-04,3570.58,CANCELLED
30,C0719,P0088,2026-09-03,2714.72,REFUNDED
31,C0559,P0037,2026-09-03,4355.16,REFUNDED
32,C0430,P0160,2026-09-02,2740.03,COMPLETED
33,C0226,P0314,2026-09-05,2702.14,REFUNDED
34,C0460,P0457,2026-09-03,4957.6,COMPLETED
35,C0604,P0174,2026-09-02,1524.87,COMPLETED
36,C0285,P0277,2026-09-03,91.76,CANCELLED
37,C0829,P0228,2026-09-02,3829.7,REFUNDED
38,C0891,P0026,2026-09-03,593.19,CANCELLED
39,C0007,P0067,2026-09-02,1667.25,COMPLETED
40,C0778,P0015,2026-09-04,2803.55,CANCELLED
41,C0826,P0242,2026-09-03,339.51,REFUNDED
42,C0164,P0463,2026-09-01,1581.05,COMPLETED
43,C0715,P0346,2026-09-02,1562.69,REFUNDED
44,C0433,P0026,2026-09-04,711.15,CANCELLED
45,C0349,P0055,2026-09-04,4192.26,CANCELLED
46,C0285,P0197,2026-09-03,54.75,CANCELLED
47,C0160,P0028,2026-09-01,3983.33,CANCELLED
48,C0221,P0045,2026-09-03,929.42,CANCELLED
49,C0981,P0219,2026-09-05,4643.94,COMPLETED
50,C0782,P0201,2026-09-05,4582.05,REFUNDED
51,C0345,P0092,2026-09-01,2514.25,REFUNDED
