activity_id,customer_id,activity_type,activity_date,channel
9001,101,login,2026-01-20,web
9002,101,purchase,2026-01-20,web
9003,101,support_ticket,2026-01-21,email
9004,102,login,2026-01-21,mobile
9005,102,email_open,2026-01-22,email
9006,102,purchase,2026-01-22,web
9007,103,login,2026-01-22,mobile
9008,103,product_view,2026-01-23,web
9009,103,purchase,2026-01-23,web
9010,104,login,2026-01-23,web
9011,104,support_ticket,2026-01-24,email
9012,104,purchase,2026-01-24,web
9013,105,login,2026-01-24,mobile
9014,105,product_view,2026-01-25,web
9015,105,purchase,2026-01-25,web
9016,106,login,2026-01-25,mobile
9017,106,email_open,2026-01-26,email
9018,106,purchase,2026-01-26,web
9019,107,login,2026-01-26,web
9020,107,product_view,2026-01-27,web
9021,107,purchase,2026-01-27,web
9022,108,login,2026-01-27,mobile
9023,108,support_ticket,2026-01-28,email
9024,108,purchase,2026-01-28,web
