order_id,customer_id,product_id,quantity,amount,order_date
5001,101,1001,1,1200,2026-01-02
5002,102,1002,2,700,2026-01-03
5003,103,1003,3,240,2026-01-04
5004,104,1004,1,250,2026-01-05
5005,105,1005,2,900,2026-01-06
5006,101,1003,2,160,2026-01-07
5007,102,1001,1,1200,2026-01-08
5008,103,1004,2,500,2026-01-09
5009,104,1002,1,350,2026-01-10
5010,105,1005,1,450,2026-01-11
5011,106,1006,2,300,2026-01-12
5012,107,1007,3,300,2026-01-13
5013,108,1008,1,600,2026-01-14
5014,101,1006,1,150,2026-01-15
5015,102,1002,1,350,2026-01-16
5016,103,1003,2,160,2026-01-17
5017,104,1008,1,600,2026-01-18
5018,105,1001,1,1200,2026-01-19
5019,106,1002,2,700,2026-01-20
5020,107,1004,1,250,2026-01-21
5021,108,1006,2,300,2026-01-22
5022,101,1002,1,350,2026-01-23
5023,102,1006,1,150,2026-01-24
5024,103,1007,2,200,2026-01-25
